ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
408938,Opavia BeBe Dobré Ráno kakaové sušienky s kúskami čokolády 50 g,opavia bebe dobre rano kakaove susienky s kuskami cokolady 50 g,0.49,0,GRAMS,50.0,43,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408939,Opavia BeBe Dobré Ráno Namäkko brusnica a ovocie cereálny bochník 50 g,opavia bebe dobre rano namakko brusnica a ovocie cerealny bochnik 50 g,0.75,0,GRAMS,50.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408940,Opavia BeBe Dobré Ráno Namäkko čučoriedka cereálny bochník 50g,opavia bebe dobre rano namakko cucoriedka cerealny bochnik 50g,0.75,0,GRAMS,50.0,7,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408941,Opavia BeBe Dobré Ráno sušienky müsli s ovocím 50 g,opavia bebe dobre rano susienky musli s ovocim 50 g,0.69,0,GRAMS,50.0,22,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408942,Opavia BeBe Dobré Ráno sušienky orieškové s medom 50 g,opavia bebe dobre rano susienky orieskove s medom 50 g,0.49,0,GRAMS,50.0,39,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408943,Opavia BeBe Dobré Ráno sušienky s jogurtom 50.6 g,opavia bebe dobre rano susienky s jogurtom 50.6 g,0.75,0,GRAMS,50.6,91,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408944,Opavia BeBe Dobré Ráno sušienky s jogurtom a jahodami 50.6 g,opavia bebe dobre rano susienky s jogurtom a jahodami 50.6 g,0.75,0,GRAMS,50.6,53,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408945,Opavia BeBe Dobré ráno sušienky s mliekom 50 g,opavia bebe dobre rano susienky s mliekom 50 g,0.49,0,GRAMS,50.0,47,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408946,Opavia BeBe Rodinné cereálne sušienky 130 g,opavia bebe rodinne cerealne susienky 130 g,1.29,0,GRAMS,130.0,28,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408947,Opavia BeBe Rodinné jemné cereálne sušienky 130 g,opavia bebe rodinne jemne cerealne susienky 130 g,0.99,0,GRAMS,130.0,58,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408948,Opavia BeBe Rodinné kakaové cereálne sušienky 130 g,opavia bebe rodinne kakaove cerealne susienky 130 g,0.99,0,GRAMS,130.0,40,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408949,Opavia BeBe Rodinné mliečne cereálne sušienky 130 g,opavia bebe rodinne mliecne cerealne susienky 130 g,1.29,0,GRAMS,130.0,41,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408950,Opavia Disko kakaové sušienky čokoládová náplň 169 g,opavia disko kakaove susienky cokoladova napln 169 g,1.99,0,GRAMS,169.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408951,Opavia Disko kakaové sušienky mliečna náplň 169 g,opavia disko kakaove susienky mliecna napln 169 g,1.99,0,GRAMS,169.0,32,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408952,Opavia Disko sušienky čokoládová náplň 169 g,opavia disko susienky cokoladova napln 169 g,1.99,0,GRAMS,169.0,27,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408953,Opavia Disko sušienky s mliečnou náplňou 169 g,opavia disko susienky s mliecnou naplnou 169 g,1.99,0,GRAMS,169.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
